Tax Class,Level 0,Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,General Commission,Lookup Cat. ID,Lookup Cat. Name,asd
international,Root Category,Health & Beauty,Makeup,Nails,Manicure Kits & Accessories,,,7.27,3560,Manicure Kits & Accessories,3560
international,Root Category,"TV, Audio / Video, Gaming & Wearables",Audio,Headphones & Headsets,In-Ear Headphones ,,,5.45,3561,In-Ear Headphones ,3561
international,Root Category,"TV, Audio / Video, Gaming & Wearables",Audio,Headphones & Headsets,Over-the-Ear Headphones ,,,5.45,3562,Over-the-Ear Headphones ,3562
international,Root Category,"TV, Audio / Video, Gaming & Wearables",Gaming,,,,,5.45,3563,Gaming,3563
international,Root Category,Health & Beauty,Makeup,Body,,,,7.27,3564,Body,3564
international,Root Category,Health & Beauty,Makeup,Body,Bronzers,,,7.27,3567,Bronzers,3567
international,Root Category,Health & Beauty,Makeup,Body,Shimmers and Glitters,,,7.27,3570,Shimmers and Glitters,3570
international,Root Category,Health & Beauty,Makeup,Makeup Removers,,,,7.27,3572,Makeup Removers,3572
international,Root Category,Health & Beauty,Makeup,"Makeup Kits, Sets, Palettes",,,,7.27,3576,"Makeup Kits, Sets, Palettes",3576
international,Root Category,Health & Beauty,Makeup,Makeup Accessories,,,,7.27,3579,Makeup Accessories,#N/A
international,Root Category,Health & Beauty,Makeup,Makeup Accessories,Brushes and Applicators,,,7.27,3580,Brushes and Applicators,#N/A
international,Root Category,Health & Beauty,Makeup,Makeup Accessories,Puffs and Sponges,,,7.27,3582,Puffs and Sponges,#N/A
international,Root Category,Health & Beauty,Makeup,Makeup Accessories,Eyelash Curlers,,,7.27,3583,Eyelash Curlers,#N/A
international,Root Category,Health & Beauty,Makeup,Makeup Accessories,Sharpeners,,,7.27,3585,Sharpeners,#N/A
international,Root Category,Health & Beauty,Makeup,Makeup Accessories,"Tweezers, Pluckers & Razors",,,7.27,3586,"Tweezers, Pluckers & Razors",#N/A
international,Root Category,Health & Beauty,Makeup,Makeup Accessories,Mirrors,,,7.27,3588,Mirrors,3588
international,Root Category,Health & Beauty,Makeup,Makeup Accessories,Facial Tissues,,,7.27,3590,Facial Tissues,3590
international,Root Category,Health & Beauty,Makeup,Makeup Accessories,"Cotton Balls, Pads and Buds",,,7.27,3591,"Cotton Balls, Pads and Buds",3591
international,Root Category,Health & Beauty,Makeup,Makeup Accessories,Makeup Bags & Organizers,,,7.27,3592,Makeup Bags & Organizers,#N/A
international,Root Category,Health & Beauty,Skin Care,,,,,7.27,3593,Skin Care,#N/A
international,Root Category,"TV, Audio / Video, Gaming & Wearables",Gaming,Gaming Accessories,,,,5.45,3597,Gaming Accessories,#N/A
international,Root Category,"TV, Audio / Video, Gaming & Wearables",Gaming,Gaming Accessories,Gamepads & Controllers,,,5.45,3601,Gamepads & Controllers,3601
international,Root Category,"TV, Audio / Video, Gaming & Wearables",Gaming,Gaming Accessories,Batteries & Chargers,,,5.45,3609,Batteries & Chargers,3609
international,Root Category,Health & Beauty,Bath & Body,,,,,7.27,3624,Bath & Body,3624
