id_supplier,short_code,name
97678,ID129PT,original_control
97748,ID129ST,"Berkat Cahaya Anugrah"
97946,ID129YG,"hambali olshope"
97997,ID129ZX,"LMG Shop"
98023,ID12A0N,"Araya Shop"
98207,ID12A5X,"Indo Modern"
98267,ID12A7M,RoyaltyGreenAngelica
98475,ID12ADK,"Ciarmy Store"
98622,ID12AHS,"SKYLINK Acc"
98667,ID12AJ2,"Beautilicious Square"
98700,ID12AK0,Authentic
98848,ID12AO8,kaosbayionline
98878,ID12AP3,"Omah Kecantikan"
98976,ID12ASW,"DYARI COLLECTIONS"
99498,ID12B7T,ioneshop--
99503,ID12B7Y,"Aybe collection"
100009,ID12BME,butikonline83
100014,ID12BMJ,Starlight168
100048,ID12BNI,"Clean Matic Store"
100188,ID12BSI,cnlbeautyshop
100311,ID12BW1,Diamond666adgetStore
100988,ID12CFD,LazpakMart
101258,ID12CN3,"Tamly Shop"
101262,ID12CN7,ROSFlorist--
101693,ID12D0I,"Obat Herbal Kuat"
101709,ID12D0Z,"Vinola Shop"
101766,ID12D2L,"Desiccanto Surabaya"
102343,ID12DJ3,"Tuku Casing"
102377,ID12DK2,"ToRay Shop"
102426,ID12DLG,"beauty secret--"
102660,ID12DT5,"Merawat Rambut Indah"
102736,ID12DVB,"King Tores"
102743,ID12DVI,Loudest
102902,ID12E02,Felismart
102956,ID12E1L,"Dunia Couple"
102986,ID12E2G,"Pusat Kosmetik Herbal"
