id_shipping_fee_rate_card_kg,origin,leadtime,destination_zone,rounding,weight_break,flat_rate,step_rate,is_live
7927968,"Cross Border",Standard,1143,1.00,6999.00,0.00,0.00,1
7927969,"Cross Border",Standard,1143,1.00,999999.00,0.00,0.00,1
7927970,"Cross Border",Standard,1144,1.00,6999.00,0.00,0.00,1
7927971,"Cross Border",Standard,1144,1.00,999999.00,0.00,0.00,1
7927972,"Cross Border",Standard,1145,1.00,6999.00,0.00,0.00,1
7927973,"Cross Border",Standard,1145,1.00,999999.00,0.00,0.00,1
7927974,"Cross Border",Standard,1146,1.00,6999.00,0.00,0.00,1
7927975,"Cross Border",Standard,1146,1.00,999999.00,0.00,0.00,1
7927976,"Cross Border",Standard,1147,1.00,6999.00,0.00,0.00,1
7927977,"Cross Border",Standard,1147,1.00,999999.00,0.00,0.00,1
7927978,"Cross Border",Standard,1148,1.00,6999.00,0.00,0.00,1
7927979,"Cross Border",Standard,1148,1.00,999999.00,0.00,0.00,1
7927980,"Cross Border",Standard,1149,1.00,6999.00,0.00,0.00,1
7927981,"Cross Border",Standard,1149,1.00,999999.00,0.00,0.00,1
7927982,"Cross Border",Standard,1151,1.00,6999.00,0.00,0.00,1
7927983,"Cross Border",Standard,1151,1.00,999999.00,0.00,0.00,1
7927984,"Cross Border",Standard,1152,1.00,6999.00,0.00,0.00,1
7927985,"Cross Border",Standard,1152,1.00,999999.00,0.00,0.00,1
7927986,"Cross Border",Standard,1153,1.00,6999.00,0.00,0.00,1
7927987,"Cross Border",Standard,1153,1.00,999999.00,0.00,0.00,1
7927988,"Cross Border",Standard,1154,1.00,6999.00,0.00,0.00,1
7927989,"Cross Border",Standard,1154,1.00,999999.00,0.00,0.00,1
7927990,"Cross Border",Standard,1156,1.00,6999.00,0.00,0.00,1
7927991,"Cross Border",Standard,1156,1.00,999999.00,0.00,0.00,1
7927992,"Cross Border",Standard,1157,1.00,6999.00,0.00,0.00,1
7927993,"Cross Border",Standard,1157,1.00,999999.00,0.00,0.00,1
7927994,"Cross Border",Standard,1158,1.00,6999.00,0.00,0.00,1
7927995,"Cross Border",Standard,1158,1.00,999999.00,0.00,0.00,1
7927996,"Cross Border",Standard,1159,1.00,6999.00,0.00,0.00,1
7927997,"Cross Border",Standard,1159,1.00,999999.00,0.00,0.00,1
7927998,"Cross Border",Standard,1160,1.00,6999.00,0.00,0.00,1
7927999,"Cross Border",Standard,1160,1.00,999999.00,0.00,0.00,1
7928000,"Cross Border",Standard,1161,1.00,6999.00,0.00,0.00,1
7928001,"Cross Border",Standard,1161,1.00,999999.00,0.00,0.00,1
7928002,"Cross Border",Standard,1162,1.00,6999.00,0.00,0.00,1
7928003,"Cross Border",Standard,1162,1.00,999999.00,0.00,0.00,1
7928004,"Cross Border",Standard,1163,1.00,6999.00,0.00,0.00,1
7928005,"Cross Border",Standard,1163,1.00,999999.00,0.00,0.00,1
7928006,"Cross Border",Standard,1165,1.00,6999.00,0.00,0.00,1
7928007,"Cross Border",Standard,1165,1.00,999999.00,0.00,0.00,1
7928008,"Cross Border",Standard,1166,1.00,6999.00,0.00,0.00,1
7928009,"Cross Border",Standard,1166,1.00,999999.00,0.00,0.00,1
7928010,"Cross Border",Standard,1167,1.00,6999.00,0.00,0.00,1
7928011,"Cross Border",Standard,1167,1.00,999999.00,0.00,0.00,1
7928012,"Cross Border",Standard,1168,1.00,6999.00,0.00,0.00,1
7928013,"Cross Border",Standard,1168,1.00,999999.00,0.00,0.00,1
7928014,"Cross Border",Standard,1169,1.00,6999.00,0.00,0.00,1
7928015,"Cross Border",Standard,1169,1.00,999999.00,0.00,0.00,1
7928016,"Cross Border",Standard,1170,1.00,6999.00,0.00,0.00,1
7928017,"Cross Border",Standard,1170,1.00,999999.00,0.00,0.00,1
7928018,"Cross Border",Standard,1171,1.00,6999.00,0.00,0.00,1
7928019,"Cross Border",Standard,1171,1.00,999999.00,0.00,0.00,1
7928020,"Cross Border",Standard,1172,1.00,6999.00,0.00,0.00,1
7928021,"Cross Border",Standard,1172,1.00,999999.00,0.00,0.00,1
7928022,"Cross Border",Standard,1174,1.00,6999.00,0.00,0.00,1
7928023,"Cross Border",Standard,1174,1.00,999999.00,0.00,0.00,1
7928024,"Cross Border",Standard,1175,1.00,6999.00,0.00,0.00,1
7928025,"Cross Border",Standard,1175,1.00,999999.00,0.00,0.00,1
7928026,"Cross Border",Standard,1176,1.00,6999.00,0.00,0.00,1
7928027,"Cross Border",Standard,1176,1.00,999999.00,0.00,0.00,1
7928028,"Cross Border",Standard,1177,1.00,6999.00,0.00,0.00,1
7928029,"Cross Border",Standard,1177,1.00,999999.00,0.00,0.00,1
7928030,"Cross Border",Standard,1178,1.00,6999.00,0.00,0.00,1
7928031,"Cross Border",Standard,1178,1.00,999999.00,0.00,0.00,1
7928032,"Cross Border",Standard,1179,1.00,6999.00,0.00,0.00,1
7928033,"Cross Border",Standard,1179,1.00,999999.00,0.00,0.00,1
7928034,"Cross Border",Standard,1180,1.00,6999.00,0.00,0.00,1
7928035,"Cross Border",Standard,1180,1.00,999999.00,0.00,0.00,1
7928036,"Cross Border",Standard,1181,1.00,6999.00,0.00,0.00,1
7928037,"Cross Border",Standard,1181,1.00,999999.00,0.00,0.00,1
7928038,"Cross Border",Standard,1182,1.00,6999.00,0.00,0.00,1
7928039,"Cross Border",Standard,1182,1.00,999999.00,0.00,0.00,1
7928040,"Cross Border",Standard,1183,1.00,6999.00,0.00,0.00,1
7928041,"Cross Border",Standard,1183,1.00,999999.00,0.00,0.00,1
7928042,"Cross Border",Standard,1184,1.00,6999.00,0.00,0.00,1
7928043,"Cross Border",Standard,1184,1.00,999999.00,0.00,0.00,1
7928044,"Cross Border",Standard,1185,1.00,6999.00,0.00,0.00,1
7928045,"Cross Border",Standard,1185,1.00,999999.00,0.00,0.00,1
7928046,"Cross Border",Standard,1186,1.00,6999.00,0.00,0.00,1
7928047,"Cross Border",Standard,1186,1.00,999999.00,0.00,0.00,1
7928048,"Cross Border",Standard,1187,1.00,6999.00,0.00,0.00,1
7928049,"Cross Border",Standard,1187,1.00,999999.00,0.00,0.00,1
7928050,"Cross Border",Standard,1188,1.00,6999.00,0.00,0.00,1
7928051,"Cross Border",Standard,1188,1.00,999999.00,0.00,0.00,1
7928052,"Cross Border",Standard,1189,1.00,6999.00,0.00,0.00,1
7928053,"Cross Border",Standard,1189,1.00,999999.00,0.00,0.00,1
7928054,"Cross Border",Standard,1190,1.00,6999.00,0.00,0.00,1
7928055,"Cross Border",Standard,1190,1.00,999999.00,0.00,0.00,1
7928056,"Cross Border",Standard,1191,1.00,6999.00,0.00,0.00,1
7928057,"Cross Border",Standard,1191,1.00,999999.00,0.00,0.00,1
7928058,"Cross Border",Standard,1192,1.00,6999.00,0.00,0.00,1
7928059,"Cross Border",Standard,1192,1.00,999999.00,0.00,0.00,1
7928060,"Cross Border",Standard,1193,1.00,6999.00,0.00,0.00,1
7928061,"Cross Border",Standard,1193,1.00,999999.00,0.00,0.00,1
7928062,"Cross Border",Standard,1194,1.00,6999.00,0.00,0.00,1
7928063,"Cross Border",Standard,1194,1.00,999999.00,0.00,0.00,1
7928064,"Cross Border",Standard,1195,1.00,6999.00,0.00,0.00,1
7928065,"Cross Border",Standard,1195,1.00,999999.00,0.00,0.00,1
7928066,"Cross Border",Standard,1196,1.00,6999.00,0.00,0.00,1
7928067,"Cross Border",Standard,1196,1.00,999999.00,0.00,0.00,1
7928068,"Cross Border",Standard,1197,1.00,6999.00,0.00,0.00,1
7928069,"Cross Border",Standard,1197,1.00,999999.00,0.00,0.00,1
7928070,"Cross Border",Standard,1199,1.00,6999.00,0.00,0.00,1
7928071,"Cross Border",Standard,1199,1.00,999999.00,0.00,0.00,1
7928072,"Cross Border",Standard,1200,1.00,6999.00,0.00,0.00,1
7928073,"Cross Border",Standard,1200,1.00,999999.00,0.00,0.00,1
7928074,"Cross Border",Standard,1201,1.00,6999.00,0.00,0.00,1
7928075,"Cross Border",Standard,1201,1.00,999999.00,0.00,0.00,1
7928076,"Cross Border",Standard,1202,1.00,6999.00,0.00,0.00,1
7928077,"Cross Border",Standard,1202,1.00,999999.00,0.00,0.00,1
